ExportComments.com,,,,,,,,,,,,,,,
Source URL,https://shopee.ph/Anta-Men-Kt-Fly-Klay-Thompson-Shoes-Basketball-Shoes-112321606-i.960701811.16594271766?publish_id=&sp_atk=3f8003e7-ca93-45d4-9466-dac55e080a1b&xptdk=3f8003e7-ca93-45d4-9466-dac55e080a1b,,,,,,,,,,,,,,
Timezone,UTC,,,,,,,,,,,,,,
Summary,Rating Total: 2074; No Stars: 3 reviews; *: 8 reviews; **: 16 reviews; ***: 98 reviews; ****: 1949 reviews;  With Context: 642;  With Image: 518;  With Media: 544;  Local Review: 2054;  Overall Fit Small: 1;  Overall Fit Fit: 87;  Oversea Review: 20; ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Author,Date,Rating,Rating Delivery Service,Rating Product Quality,Rating Seller Service,Review,Version,Oversea Shopping,Region,Picture included,Photos,Videos,(view source)
11,,papum13,29/05/23,5,5,5,5,"Quality:very very good
Suitability:awesome
Appearance:super pogi, good looking

Ang Ganda, maayos ang packaging, safe na safe walang damage, pwede  ng pang jogging at pang porma👍🥰👍
https://cf.shopee.vn/file/ph-11134103-7qul4-lhczmi7dhvqea1
https://cf.shopee.vn/file/ph-11134103-7qula-lhczmi7djaau17","white/blue-1,9.5/43",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul4-lhczmi7dhvqea1, https://cf.shopee.vn/file/ph-11134103-7qula-lhczmi7djaau17",,view review
12,,n*****3,29/05/23,5,5,5,5,"Quality:Good
Suitability:Nice
Appearance:Bad Boy

Maganda sya, at saktong sakto sakin ang sapatos. Tapos napaka porma pa 👍
Sa delivery medyo natagalan since overseas pa manggagaling pero ayos na din. Buti mabait si kuya rider at napag bigyan na ma claim ang item pag uwi ko sa trabaho. Salamat Anta and Shoppee. Salamat din kay kuya rider. Good job .
https://cf.shopee.vn/file/ph-11134103-7qul9-lhd8lc428otc34
https://cf.shopee.vn/file/ph-11134103-7qul8-lhd8lc42o5iedc
https://cf.shopee.vn/file/ph-11134103-7qul9-lhd8lc42o52889
https://cf.shopee.vn/file/ph-11134103-7qul8-lhd8lc428p9iee
https://cf.shopee.vn/file/ph-11134103-7qul1-lhd8lc605uxy28","white/blue-1,9.5/43",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul9-lhd8lc428otc34, https://cf.shopee.vn/file/ph-11134103-7qul8-lhd8lc42o5iedc, https://cf.shopee.vn/file/ph-11134103-7qul9-lhd8lc42o52889, https://cf.shopee.vn/file/ph-11134103-7qul8-lhd8lc428p9iee, https://cf.shopee.vn/file/ph-11134103-7qul1-lhd8lc605uxy28",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnk-lhd8pdxyu3mu12.12000461685354322.mp4,view review
13,,h*****a,02/06/23,5,5,5,5,"Appearance:100% all goods
Quality:legit
Suitability:very nice

Solid legit sobrang ganda gaan at kalit quality talaga d ka mag sisisi salamat anta more sales napaka ganda larong laro na ko hindi masisira amg tiwala nyo official store ito kaya bili na thank you more sales sa inyo and God bless
https://cf.shopee.vn/file/ph-11134103-7qul4-lhilsty3byzrf5
https://cf.shopee.vn/file/ph-11134103-7qukz-lhilstyxq7dz26
https://cf.shopee.vn/file/ph-11134103-7qula-lhilstyxar53b6","white/green/yellow-5,8.5/42",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul4-lhilsty3byzrf5, https://cf.shopee.vn/file/ph-11134103-7qukz-lhilstyxq7dz26, https://cf.shopee.vn/file/ph-11134103-7qula-lhilstyxar53b6",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnn-lhiltaj726tl43.16000461685679027.mp4,view review
14,,carlorossi007,06/06/23,5,5,5,5,"Suitability:Will suggest na mag one up kayo sa size
Appearance:Good
Quality:Solid

Sobrang squaky at napakagaan na shoes. Medyo mahina ankle support. Maganda cushioning
https://cf.shopee.vn/file/ph-11134103-7qul7-lhoceladykfbed
https://cf.shopee.vn/file/ph-11134103-7qul6-lhocelbsbzt5c2
https://cf.shopee.vn/file/ph-11134103-7qul5-lhocelany5t3f2
https://cf.shopee.vn/file/ph-11134103-7qul5-lhocelaee0o783","blue/waterfall-2,8.5/42",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul7-lhoceladykfbed, https://cf.shopee.vn/file/ph-11134103-7qul6-lhocelbsbzt5c2, https://cf.shopee.vn/file/ph-11134103-7qul5-lhocelany5t3f2, https://cf.shopee.vn/file/ph-11134103-7qul5-lhocelaee0o783",,view review
15,,arthurbryanmariano,08/06/23,5,5,5,5,"go one size smaller para sa size mo, mejo delicate yung mga lalagyan ng sintas so careful sa pagsikip
https://cf.shopee.vn/file/ph-11134103-7qukz-lhrb7tson1t39a
https://cf.shopee.vn/file/ph-11134103-7qula-lhrb7tson2150e
https://cf.shopee.vn/file/ph-11134103-7qul2-lhrb90ji1s0906
https://cf.shopee.vn/file/ph-11134103-7qukz-lhrb90ji1rs740","white/green/yellow-5,9.5/43",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukz-lhrb7tson1t39a, https://cf.shopee.vn/file/ph-11134103-7qula-lhrb7tson2150e, https://cf.shopee.vn/file/ph-11134103-7qul2-lhrb90ji1s0906, https://cf.shopee.vn/file/ph-11134103-7qukz-lhrb90ji1rs740",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-lhrb8n1xsc953f.16000051686206047.mp4,view review
16,,f*****n,16/06/23,5,4,5,5,"Appearance:10/10
Quality:10/10
Suitability:TTS

another great pair from anta , i like the appearance of this shoes the quality is like what i've expected thanks anta will buy again 👍👍👍
https://cf.shopee.vn/file/ph-11134103-7qukw-li2p0ks1jx8m09","white/green/yellow-5,9.5/43",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qukw-li2p0ks1jx8m09,,view review
17,,sid30,16/06/23,5,5,5,5,"Appearance:very good
Suitability:very good
Quality:very good

Legit orig nga...mejo mtgal lng bgo dumtng since sa china pa tlga mangga2ling...hlos 1wik bgo mu mrecieved...pero worth it nmn ung pghi2ntay...skto buks finals na nmin...maisa2bak q agd...nice ANTA OFFICIAL store...sa uulitin...order ulit aq pg my ipon na...hahahah
https://cf.shopee.vn/file/ph-11134103-7qul3-li2zcd496zbw35
https://cf.shopee.vn/file/ph-11134103-7qul8-li2zcd1ramme6f
https://cf.shopee.vn/file/ph-11134103-7qul5-li2zcd712x5o4e","white/blue-1,8/41",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul3-li2zcd496zbw35, https://cf.shopee.vn/file/ph-11134103-7qul8-li2zcd1ramme6f, https://cf.shopee.vn/file/ph-11134103-7qul5-li2zcd712x5o4e",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-li2zd3xtxyx22a.16000461686912507.mp4,view review
18,,p*****h,27/06/23,5,5,5,5,"Appearance:Maganda ang shoes na ito.
Quality:10/10
Suitability:10/10

Ang bilis ng delivery, expected makarating ay sa July 4 pa, pero nakarating a week before the delivery date.
Inlove na yung asawa ko sa shoes niya.
https://cf.shopee.vn/file/ph-11134103-7qul6-liin4ex4g3ye95
https://cf.shopee.vn/file/ph-11134103-7qul6-liin4ex4kbnqfb
https://cf.shopee.vn/file/ph-11134103-7qul7-liin4ex4hiiu2d
https://cf.shopee.vn/file/ph-11134103-7qul9-liin4ex4lq8655
https://cf.shopee.vn/file/ph-11134103-7qul8-liin4ex4ix3a51","white/green/yellow-5,8.5/42",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul6-liin4ex4g3ye95, https://cf.shopee.vn/file/ph-11134103-7qul6-liin4ex4kbnqfb, https://cf.shopee.vn/file/ph-11134103-7qul7-liin4ex4hiiu2d, https://cf.shopee.vn/file/ph-11134103-7qul9-liin4ex4lq8655, https://cf.shopee.vn/file/ph-11134103-7qul8-liin4ex4ix3a51",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnm-liin95e2ik1y4a.16000461687860741.mp4,view review
19,,wendellreinon203,05/07/23,5,5,5,5,"Appearance:so nice and neat
Quality:amazing!
Suitability:great

i really like it. pwede pangporma, pangjogging at basketball.
https://cf.shopee.vn/file/ph-11134103-7qukx-liue7nafp8ue38
https://cf.shopee.vn/file/ph-11134103-7qul4-liue7nafnu9yed
https://cf.shopee.vn/file/ph-11134103-7qul0-liue7n9vonie31","white/blue-1,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukx-liue7nafp8ue38, https://cf.shopee.vn/file/ph-11134103-7qul4-liue7nafnu9yed, https://cf.shopee.vn/file/ph-11134103-7qul0-liue7n9vonie31",,view review
20,,b*****o,06/07/23,5,5,5,5,"Appearance:excellent
Quality:excellent
Suitability:excellent

waaah! super ganda neto😍 pwede din pang regalo sa mga jowa nyo🤗 sulit na sulit thankyou so much seller😍 sa uulitin☺️ God bless you!
https://cf.shopee.vn/file/ph-11134103-7qul9-liv4jhzj864md2
https://cf.shopee.vn/file/ph-11134103-7quky-liv4jhzj9kp268
https://cf.shopee.vn/file/ph-11134103-7qul3-liv4jhzjaz9id4
https://cf.shopee.vn/file/ph-11134103-7qul4-liv4jhzjcdty30
https://cf.shopee.vn/file/ph-11134103-7qul6-liv4jhzjdseef9","white/blue-1,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul9-liv4jhzj864md2, https://cf.shopee.vn/file/ph-11134103-7quky-liv4jhzj9kp268, https://cf.shopee.vn/file/ph-11134103-7qul3-liv4jhzjaz9id4, https://cf.shopee.vn/file/ph-11134103-7qul4-liv4jhzjcdty30, https://cf.shopee.vn/file/ph-11134103-7qul6-liv4jhzjdseef9",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-liv4kp20790c32.16000461688616256.mp4,view review
